alarma_id,timestamp,equipo_id,equipo_nombre,tipo_alarma,severidad,descripcion,valor_actual,limite,unidad,estado,tiempo_reconocimiento,usuario_reconocimiento,tiempo_resolucion,causa_raiz,accion_tomada
ALM-2026-0001,2026-01-15 08:23:45,EXT-L1-001,Extrusora Línea 1,Temperatura alta,Warning,Temperatura zona 3 por encima de setpoint,192,190,°C,Resuelta,2026-01-15 08:25:12,Carlos García,2026-01-15 08:45:00,Obstrucción parcial filtro,Limpieza filtro y ajuste refrigeración
ALM-2026-0002,2026-01-15 11:45:22,SEC-L4-001,Secador Línea 4,Humedad alta,Critical,Humedad material salida fuera de especificación,450,200,ppm,Resuelta,2026-01-15 11:46:00,María López,2026-01-15 14:30:00,Fallo resistencias calefacción,Reparación sistema calefacción
ALM-2026-0003,2026-01-15 14:12:33,GRN-L2-001,Granuladora Línea 2,Vibración alta,Warning,Vibración eje superior a límite,4.8,4.0,mm/s,Resuelta,2026-01-15 14:15:00,Pedro Martínez,2026-01-15 15:00:00,Desequilibrio cuchillas,Balanceo y ajuste cuchillas
ALM-2026-0004,2026-01-16 06:05:18,EXT-L3-001,Extrusora Línea 3,Presión baja,Warning,Presión cabezal inferior a setpoint,138,145,bar,Resuelta,2026-01-16 06:07:00,Ana Fernández,2026-01-16 06:30:00,Desgaste husillo,Ajuste parámetros temporales
ALM-2026-0005,2026-01-16 09:33:41,BOB-L1-001,Bobinadora Línea 1,Tensión irregular,Info,Fluctuación tensión bobinado,2.8,2.5,N,Resuelta,2026-01-16 09:35:00,Juan Rodríguez,2026-01-16 09:50:00,Calibración sensor,Recalibración sensor tensión
ALM-2026-0006,2026-01-16 15:22:09,EXT-L2-001,Extrusora Línea 2,Motor sobrecarga,Critical,Corriente motor principal excede límite,125,110,%,Resuelta,2026-01-16 15:23:00,Carlos García,2026-01-16 16:45:00,Material contaminado,Purga y cambio de material
ALM-2026-0007,2026-01-17 07:45:55,SIL-03,Silo Almacenamiento 03,Nivel bajo,Warning,Nivel material por debajo del mínimo,18,20,%,Resuelta,2026-01-17 07:48:00,María López,2026-01-17 10:00:00,Consumo mayor al previsto,Solicitud reposición urgente
ALM-2026-0008,2026-01-17 12:08:33,ENF-L3-001,Sistema Enfriamiento L3,Temperatura agua alta,Warning,Temperatura agua retorno elevada,32,30,°C,Resuelta,2026-01-17 12:10:00,Pedro Martínez,2026-01-17 12:45:00,Suciedad intercambiador,Limpieza intercambiador
ALM-2026-0009,2026-01-18 08:55:12,EXT-L4-001,Extrusora Línea 4,Fallo comunicación,Critical,Pérdida comunicación con PLC,0,1,bool,Resuelta,2026-01-18 08:56:00,Ana Fernández,2026-01-18 09:15:00,Interferencia electromagnética,Reinicio comunicaciones y verificación cableado
ALM-2026-0010,2026-01-18 14:30:28,GRN-L4-001,Granuladora Línea 4,Desgaste cuchillas,Info,Contador ciclos cuchillas próximo a límite,485000,500000,ciclos,Activa,2026-01-18 14:32:00,Juan Rodríguez,NULL,Desgaste normal,Programado cambio preventivo
ALM-2026-0011,2026-01-19 06:12:44,EXT-L1-001,Extrusora Línea 1,Presión alta,Warning,Presión zona dosificación elevada,132,130,bar,Activa,2026-01-19 06:14:00,Carlos García,NULL,Posible obstrucción,En investigación
ALM-2026-0012,2026-01-19 10:45:00,SEC-L2-001,Secador Línea 2,Flujo aire bajo,Warning,Caudal aire secado inferior al nominal,850,1000,m3/h,Activa,NULL,NULL,NULL,NULL,Pendiente reconocimiento
