lote_id,producto,grado,fecha_produccion,linea,cantidad_kg,estado,operador,turno,tiempo_ciclo_min,temperatura_extrusion_c,presion_bar,humedad_pct,observaciones
LOT-2026-0001,HDPE,ALCUDIA 4810-B,2026-01-15 06:30:00,L1,12500,Aprobado,Carlos García,Mañana,45,185,120,0.02,Producción estable
LOT-2026-0002,LDPE,ALCUDIA 2008-N,2026-01-15 08:15:00,L2,8750,Aprobado,María López,Mañana,38,165,95,0.03,
LOT-2026-0003,PP,ISPLEN PP040 G2M,2026-01-15 10:00:00,L3,15000,Aprobado,Pedro Martínez,Mañana,52,210,145,0.01,Alta demanda cliente
LOT-2026-0004,HDPE,ALCUDIA 4810-B,2026-01-15 14:30:00,L1,11800,Aprobado,Ana Fernández,Tarde,47,187,118,0.02,
LOT-2026-0005,PET,NOVAPET CR,2026-01-15 16:00:00,L4,9200,En revisión,Juan Rodríguez,Tarde,42,275,180,0.04,Verificar cristalización
LOT-2026-0006,LDPE,ALCUDIA 2310-N,2026-01-16 06:30:00,L2,7500,Aprobado,Carlos García,Mañana,35,168,92,0.02,
LOT-2026-0007,PP,ISPLEN PP070 G2M,2026-01-16 09:00:00,L3,14200,Aprobado,María López,Mañana,50,215,150,0.01,
LOT-2026-0008,HDPE,ALCUDIA 6020-L,2026-01-16 11:30:00,L1,13100,Aprobado,Pedro Martínez,Mañana,48,190,125,0.02,
LOT-2026-0009,EVA,ALCUDIA EVA PA-440,2026-01-16 14:00:00,L5,5500,Aprobado,Ana Fernández,Tarde,30,155,85,0.03,
LOT-2026-0010,LDPE,ALCUDIA 2008-N,2026-01-16 16:30:00,L2,8900,Rechazado,Juan Rodríguez,Tarde,40,162,90,0.08,Humedad excesiva - reprocesar
LOT-2026-0011,PP,ISPLEN PP040 G2M,2026-01-17 06:30:00,L3,15500,Aprobado,Carlos García,Mañana,51,212,148,0.01,
LOT-2026-0012,HDPE,ALCUDIA 4810-B,2026-01-17 08:45:00,L1,12200,Aprobado,María López,Mañana,46,186,121,0.02,
LOT-2026-0013,PET,NOVAPET CB,2026-01-17 11:00:00,L4,8800,Aprobado,Pedro Martínez,Mañana,41,278,175,0.03,
LOT-2026-0014,LDPE,ALCUDIA 2310-N,2026-01-17 14:30:00,L2,7800,Aprobado,Ana Fernández,Tarde,36,170,94,0.02,
LOT-2026-0015,PP,ISPLEN PP070 G2M,2026-01-17 16:45:00,L3,13800,Aprobado,Juan Rodríguez,Tarde,49,218,152,0.01,
LOT-2026-0016,HDPE,ALCUDIA 6020-L,2026-01-18 06:30:00,L1,12800,En revisión,Carlos García,Mañana,47,192,127,0.025,Revisar MFI
LOT-2026-0017,EVA,ALCUDIA EVA PA-539,2026-01-18 09:00:00,L5,6200,Aprobado,María López,Mañana,32,158,88,0.02,
LOT-2026-0018,LDPE,ALCUDIA 2008-N,2026-01-18 11:30:00,L2,9100,Aprobado,Pedro Martínez,Mañana,39,166,96,0.03,
LOT-2026-0019,PP,ISPLEN PP040 G2M,2026-01-18 14:00:00,L3,14800,Aprobado,Ana Fernández,Tarde,53,211,146,0.01,
LOT-2026-0020,HDPE,ALCUDIA 4810-B,2026-01-18 16:30:00,L1,11500,Aprobado,Juan Rodríguez,Tarde,44,184,119,0.02,
LOT-2026-0021,PET,NOVAPET CR,2026-01-19 06:30:00,L4,9500,Aprobado,Carlos García,Mañana,43,276,182,0.03,
LOT-2026-0022,LDPE,ALCUDIA 2310-N,2026-01-19 09:00:00,L2,7200,Aprobado,María López,Mañana,34,169,91,0.02,
LOT-2026-0023,PP,ISPLEN PP070 G2M,2026-01-19 11:30:00,L3,15200,Aprobado,Pedro Martínez,Mañana,52,216,151,0.01,
LOT-2026-0024,HDPE,ALCUDIA 6020-L,2026-01-19 14:00:00,L1,13500,Aprobado,Ana Fernández,Tarde,49,191,126,0.02,
LOT-2026-0025,EVA,ALCUDIA EVA PA-440,2026-01-19 16:30:00,L5,5800,Aprobado,Juan Rodríguez,Tarde,31,156,86,0.03,
